0.00088,365679,-19493.2,-346186,496.683,36.4902,-533.173
0.00089,364965,-17943.6,-347022,495.44,38.7315,-534.171
0.0009,364246,-16393.8,-347853,494.189,40.9722,-535.162
0.00091,363522,-14843.8,-348679,492.932,43.2123,-536.144
0.00092,362793,-13293.5,-349500,491.667,45.4519,-537.119
0.00093,362059,-11743.1,-350316,490.396,47.6908,-538.087
0.00094,361319,-10192.5,-351127,489.117,49.929,-539.046
0.00095,360574,-8641.62,-351933,487.833,52.1662,-539.999
0.00096,359824,-7090.67,-352734,486.541,54.4028,-540.944
0.00097,359070,-5539.72,-353530,485.241,56.6388,-541.88
0.00098,358310,-3988.7,-354321,483.935,58.8741,-542.809
0.00099,357545,-2437.61,-355107,482.622,61.1085,-543.73
0.001,356775,-886.494,-355888,481.302,63.342,-544.644
0.00101,356000,664.641,-356664,479.975,65.5747,-545.55
0.00102,355219,2215.77,-357435,478.641,67.8064,-546.448
0.00103,354434,3766.86,-358201,477.301,70.0371,-547.338
0.00104,353644,5317.91,-358962,475.954,72.2668,-548.22
0.00105,352848,6868.98,-359717,474.6,74.4953,-549.095
0.00106,352047,8420.05,-360467,473.241,76.7225,-549.963
0.00107,351242,9970.86,-361213,471.874,78.9488,-550.823
0.00108,350431,11521.4,-361953,470.499,81.1744,-551.674
0.00109,349616,13071.8,-362688,469.118,83.3988,-552.517
0.0011,348796,14622,-363418,467.73,85.622,-553.352
0.00111,347971,16172,-364143,466.336,87.8439,-554.18
0.00112,347141,17721.8,-364863,464.935,90.0646,-554.999
0.00113,346306,19271.4,-365577,463.527,92.284,-555.811
0.00114,345466,20820.6,-366286,462.113,94.5021,-556.615
0.00115,344621,22369.6,-366991,460.692,96.7189,-557.411
0.00116,343771,23918.3,-367689,459.265,98.9342,-558.199
0.00117,342916,25466.6,-368383,457.831,101.148,-558.979
0.00118,342057,27014.6,-369071,456.391,103.361,-559.751
0.00119,341192,28562.1,-369755,454.944,105.572,-560.516
0.0012,340323,30109.3,-370432,453.491,107.781,-561.272
0.00121,339449,31656.1,-371105,452.031,109.989,-562.02
0.00122,338570,33202.4,-371772,450.565,112.196,-562.761
0.00123,337686,34748.2,-372434,449.093,114.4,-563.493
0.00124,336798,36293.6,-373091,447.614,116.604,-564.217
0.00125,335904,37838.4,-373743,446.129,118.805,-564.934
0.00126,335006,39382.7,-374389,444.637,121.005,-565.642
0.00127,334103,40926.5,-375030,443.139,123.203,-566.342
0.00128,333195,42469.6,-375665,441.635,125.4,-567.035
0.00129,332283,44012.2,-376295,440.125,127.594,-567.719
0.0013,331366,45554.1,-376920,438.608,129.787,-568.395
0.00131,330444,47095.4,-377539,437.085,131.978,-569.063
0.00132,329517,48636,-378153,435.556,134.167,-569.723
0.00133,328586,50175.9,-378762,434.021,136.354,-570.375
0.00134,327650,51715.2,-379365,432.48,138.539,-571.019
0.00135,326710,53253.6,-379963,430.932,140.722,-571.654
0.00136,325764,54791.4,-380556,429.379,142.903,-572.282
0.00137,324815,56328.3,-381143,427.819,145.083,-572.901
0.00138,323860,57864.5,-381725,426.253,147.26,-573.513
0.00139,322901,59399.8,-382301,424.681,149.435,-574.116
